kyoku_id,hanchan_id,room_class_label,honba,kyotaku,oya_rel,seat0_player_name,seat1_player_name,seat2_player_name,seat3_player_name,oya_player_name
20260412052527_0000,20260412052527,上級卓,0,0,1,パシフィック,笑ってコラえて！,sakura丿,199053,笑ってコラえて！
20260412052922_0000,20260412052922,特上卓,0,0,1,s6u,こいきき,Fsight,skybit,こいきき
20260412052922_0001,20260412052922,特上卓,1,0,1,s6u,こいきき,Fsight,skybit,こいきき
20260412052922_0002,20260412052922,特上卓,2,0,1,s6u,こいきき,Fsight,skybit,こいきき
20260412052922_0100,20260412052922,特上卓,0,0,2,s6u,こいきき,Fsight,skybit,Fsight
20260412052922_0201,20260412052922,特上卓,1,0,3,s6u,こいきき,Fsight,skybit,skybit
20260412052922_0300,20260412052922,特上卓,0,0,0,s6u,こいきき,Fsight,skybit,s6u
20260412052922_0301,20260412052922,特上卓,1,0,0,s6u,こいきき,Fsight,skybit,s6u
20260412052922_0400,20260412052922,特上卓,0,0,1,s6u,こいきき,Fsight,skybit,こいきき
20260412055023_0000,20260412055023,特上卓,0,0,2,s6u,せんざんこうさん,欧陽,シゲルペペ,欧陽
20260412055023_0101,20260412055023,特上卓,1,1,3,s6u,せんざんこうさん,欧陽,シゲルペペ,シゲルペペ
20260412055023_0200,20260412055023,特上卓,0,0,0,s6u,せんざんこうさん,欧陽,シゲルペペ,s6u
20260412055023_0201,20260412055023,特上卓,1,0,0,s6u,せんざんこうさん,欧陽,シゲルペペ,s6u
20260412055023_0300,20260412055023,特上卓,0,0,1,s6u,せんざんこうさん,欧陽,シゲルペペ,せんざんこうさん
20260412055023_0301,20260412055023,特上卓,1,0,1,s6u,せんざんこうさん,欧陽,シゲルペペ,せんざんこうさん
20260412055023_0302,20260412055023,特上卓,2,0,1,s6u,せんざんこうさん,欧陽,シゲルペペ,せんざんこうさん
20260412055023_0400,20260412055023,特上卓,0,0,2,s6u,せんざんこうさん,欧陽,シゲルペペ,欧陽
20260412055023_0500,20260412055023,特上卓,0,0,3,s6u,せんざんこうさん,欧陽,シゲルペペ,シゲルペペ
20260412062254_0000,20260412062254,一般卓,0,0,3,パシフィック,清水新吾,SAL,高田馬場,高田馬場
20260412065824_0100,20260412065824,上級卓,0,0,3,パシフィック,hikaru,Sadou,天然ジイ3,天然ジイ3
20260412065843_0000,20260412065843,,0,0,3,パシフィック,よく分からない,NoName,gieron,gieron
20260412143821_0000,20260412143821,一般卓,0,0,0,パシフィック,sabiuu,midoriko,ガルガル,パシフィック
20260412143821_0100,20260412143821,一般卓,0,0,1,パシフィック,sabiuu,midoriko,ガルガル,sabiuu
20260412144902_0000,20260412144902,上級卓,0,0,3,パシフィック,sasimize,tetwo54,kimikoo5,kimikoo5
20260412144902_0101,20260412144902,上級卓,1,1,0,パシフィック,sasimize,tetwo54,kimikoo5,パシフィック
20260412150637_0000,20260412150637,上級卓,0,0,1,パシフィック,秀③,にっしー,NoName,秀③
20260412150637_0101,20260412150637,上級卓,1,0,2,パシフィック,秀③,にっしー,NoName,にっしー
20260412150637_0400,20260412150637,上級卓,0,0,1,パシフィック,秀③,にっしー,NoName,秀③
20260412152012_0000,20260412152012,,0,0,1,パシフィック,江頭5:73,結城めぐみ,水ラーメン,江頭5:73
20260412152012_0100,20260412152012,上級卓,0,0,2,パシフィック,江頭5:73,結城めぐみ,水ラーメン,結城めぐみ
20260412152541_0000,20260412152541,,0,0,2,パシフィック,ケンメイ3534,NoName,クルンテープ,NoName
