agari_id,kyoku_id,hanchan_id,room_class_label,agari_epoch_s,winner_rel_seat,winner_name,from_rel_seat,from_name,is_tsumo,winning_tile_136,winning_tile_37_text,deal_in_discard_id,deal_in_round_discard_index,estimated_danger_percent,danger_estimate_source
20260412052922_0000_agari_117,20260412052922_0000,20260412052922,特上卓,1775939448,1,こいきき,1,こいきき,1,16,r5m,,,,
20260412052922_0001_agari_290,20260412052922_0001,20260412052922,特上卓,1775939685,1,こいきき,0,s6u,0,3,1m,20260412052922_0001_062,62,15.5,self_pre_discard_hand
20260412052922_0201_agari_789,20260412052922_0201,20260412052922,特上卓,1775940290,0,s6u,0,s6u,1,28,8m,,,,
20260412052922_0300_agari_851,20260412052922_0300,20260412052922,特上卓,1775940348,0,s6u,2,Fsight,0,103,8s,20260412052922_0300_021,21,14.0,synthetic_tile
20260412052922_0301_agari_946,20260412052922_0301,20260412052922,特上卓,1775940425,1,こいきき,1,こいきき,1,106,9s,,,,
20260412052922_0400_agari_1031,20260412052922_0400,20260412052922,特上卓,1775940518,1,こいきき,2,Fsight,0,30,8m,20260412052922_0400_029,29,11.9,synthetic_tile
20260412055023_0101_agari_121,20260412055023_0101,20260412055023,特上卓,1775941020,2,欧陽,2,欧陽,1,43,2p,,,,
20260412055023_0200_agari_253,20260412055023_0200,20260412055023,特上卓,1775941165,0,s6u,2,欧陽,0,84,4s,20260412055023_0200_048,48,4.0,synthetic_tile
20260412055023_0300_agari_419,20260412055023_0300,20260412055023,特上卓,1775941382,1,せんざんこうさん,1,せんざんこうさん,1,94,6s,,,,
20260412055023_0301_agari_594,20260412055023_0301,20260412055023,特上卓,1775941608,1,せんざんこうさん,3,シゲルペペ,0,23,6m,20260412055023_0301_063,63,43.6,synthetic_tile
20260412055023_0302_agari_771,20260412055023_0302,20260412055023,特上卓,1775941841,2,欧陽,2,欧陽,1,84,4s,,,,
20260413021631_0101_agari_026,20260413021631_0101,20260413021631,一般卓,1776014644,3,ひょうもんたこら,0,パシフィック,0,4,2m,20260413021631_0101_032,32,8.6,self_pre_discard_hand
20260413023111_0000_agari_123,20260413023111_0000,20260413023111,上級卓,1776015217,1,sabakan,0,パシフィック,0,33,9m,20260413023111_0000_043,43,11.9,self_pre_discard_hand
20260413023111_0002_agari_012,20260413023111_0002,20260413023111,上級卓,1776015543,1,sabakan,0,パシフィック,0,89,5s,20260413023111_0002_014,14,16.0,self_pre_discard_hand
20260413023111_0104_agari_054,20260413023111_0104,20260413023111,上級卓,1776015830,1,sabakan,1,sabakan,1,10,3m,,,,
20260413030233_0000_agari_171,20260413030233_0000,20260413030233,上級卓,1776017125,2,ぱぱん2,0,パシフィック,0,88,r5s,20260413030233_0000_058,58,30.6,self_pre_discard_hand
20260413030233_0202_agari_047,20260413030233_0202,20260413030233,上級卓,1776017655,2,ぱぱん2,0,パシフィック,0,8,3m,20260413030233_0202_056,56,11.6,self_pre_discard_hand
20260413033302_0000_agari_023,20260413033302_0000,20260413033302,一般卓,1776019025,1,喉頭形成術Ⅴ型,3,NoName,0,99,7s,20260413033302_0000_058,58,7.9,synthetic_tile
20260414000100_0000_agari_125,20260414000100_0000,20260414000100,一般卓,1776092606,1,NoName,2,わはは,0,29,8m,20260414000100_0000_038,38,2.0,synthetic_tile
20260414000100_0101_agari_046,20260414000100_0101,20260414000100,一般卓,1776092994,3,ジャーナリスト魂,1,NoName,0,95,6s,20260414000100_0101_058,58,8.7,synthetic_tile
20260414001450_0201_agari_060,20260414001450_0201,20260414001450,上級卓,1776093872,0,パシフィック,1,M＆I,0,34,9m,20260414001450_0201_026,26,8.9,synthetic_tile
20260414001450_0300_agari_146,20260414001450_0300,20260414001450,上級卓,1776093995,1,M＆I,3,NoName,0,2,1m,20260414001450_0300_028,28,11.2,synthetic_tile
20260414002828_0000_agari_069,20260414002828_0000,20260414002828,上級卓,1776094295,3,Millio,3,Millio,1,97,7s,,,,
20260414005815_0000_agari_145,20260414005815_0000,20260414005815,上級卓,1776096107,1,Ds.,1,Ds.,1,17,5m,,,,
20260414005815_0100_agari_251,20260414005815_0100,20260414005815,上級卓,1776096279,3,matsu_r,3,matsu_r,1,63,7p,,,,
20260414005815_0200_agari_425,20260414005815_0200,20260414005815,上級卓,1776096489,2,yhm,0,パシフィック,0,88,r5s,20260414005815_0200_062,62,44.7,self_pre_discard_hand
20260414005815_0201_agari_525,20260414005815_0201,20260414005815,上級卓,1776096645,3,matsu_r,2,yhm,0,19,5m,20260414005815_0201_033,33,81.4,synthetic_tile
20260414005815_0400_agari_787,20260414005815_0400,20260414005815,上級卓,1776097062,2,yhm,3,matsu_r,0,59,6p,20260414005815_0400_023,23,21.4,synthetic_tile
20260414005815_0501_agari_1110,20260414005815_0501,20260414005815,上級卓,1776097483,2,yhm,0,パシフィック,0,12,4m,20260414005815_0501_043,43,30.0,self_pre_discard_hand
20260414013924_0000_agari_089,20260414013924_0000,20260414013924,一般卓,1776098468,3,ryu1110,3,ryu1110,1,23,6m,,,,
20260414013924_0100_agari_185,20260414013924_0100,20260414013924,一般卓,1776098559,1,unryu,2,ひろぼうA1,0,69,9p,20260414013924_0100_035,35,16.7,synthetic_tile
20260414143934_0100_agari_229,20260414143934_0100,20260414143934,一般卓,1776145573,3,きんぎょすくい,3,きんぎょすくい,1,44,3p,,,,
20260414143934_0101_agari_307,20260414143934_0101,20260414143934,一般卓,1776145682,3,きんぎょすくい,0,パシフィック,0,115,2z,20260414143934_0101_025,25,2.0,self_pre_discard_hand
20260414171043_0000_agari_186,20260414171043_0000,20260414171043,一般卓,1776154438,1,そのまま,1,そのまま,1,95,6s,,,,
20260414171043_0100_agari_307,20260414171043_0100,20260414171043,一般卓,1776154583,2,小助,3,NoName,0,23,6m,20260414171043_0100_044,44,11.8,synthetic_tile
